caldt,mkt,ewmkt
1969-06-30,-0.067388,-0.113404
1969-07-31,-0.065171,-0.095823
1969-08-29,0.051491,0.052175
1969-09-30,-0.02259,-0.024618
1969-10-31,0.055638,0.092413
1969-11-28,-0.032164,-0.055078
1969-12-31,-0.01968,-0.066178
1970-01-30,-0.073254,-0.03883
1970-02-27,0.056706,0.040196
1970-03-31,-0.004729,-0.023712
1970-04-30,-0.105318,-0.161962
1970-05-29,-0.064346,-0.090525
1970-06-30,-0.051067,-0.073888
1970-07-31,0.07417,0.059258
1970-08-31,0.050036,0.061618
1970-09-30,0.047535,0.126098
1970-10-30,-0.018208,-0.058604
1970-11-30,0.050449,0.003021
1970-12-31,0.060723,0.081324
1971-01-29,0.05203,0.136096
1971-02-26,0.016913,0.04791
1971-03-31,0.044778,0.056603
1971-04-30,0.033332,0.027087
1971-05-28,-0.036409,-0.049436
1971-06-30,0.003119,-0.01724
1971-07-30,-0.040283,-0.053634
1971-08-31,0.042511,0.041159
1971-09-30,-0.005016,-0.004653
1971-10-29,-0.040683,-0.057468
1971-11-30,-0.001262,-0.03415
1971-12-31,0.091257,0.117128
1972-01-31,0.028382,0.103892
1972-02-29,0.031349,0.041809
1972-03-30,0.008723,-0.000951
1972-04-28,0.005505,0.001231
1972-05-31,0.016376,-0.018121
1972-06-30,-0.020897,-0.033775
1972-07-31,-0.004254,-0.029488
1972-08-31,0.035966,0.012252
1972-09-29,-0.00767,-0.030725
1972-10-31,0.008676,-0.013767
1972-11-30,0.049764,0.051096
1972-12-29,0.011243,-0.019873
1973-01-31,-0.027454,-0.026131
1973-02-28,-0.04437,-0.072835
1973-03-30,-0.007857,-0.028976
1973-04-30,-0.051769,-0.07062
1973-05-31,-0.024508,-0.083582
1973-06-29,-0.008648,-0.037745
1973-07-31,0.056961,0.105922
1973-08-31,-0.029657,-0.044417
1973-09-28,0.053931,0.072995
1973-10-31,-0.000415,0.000303
1973-11-30,-0.120713,-0.175252
1973-12-31,0.011437,-0.041764
1974-01-31,0.004413,0.132374
1974-02-28,0.002345,0.008623
1974-03-29,-0.023364,0.008379
1974-04-30,-0.045961,-0.055537
1974-05-31,-0.041981,-0.072545
1974-06-28,-0.022942,-0.033483
1974-07-31,-0.070874,-0.051915
1974-08-30,-0.087757,-0.085788
1974-09-30,-0.109718,-0.079025
1974-10-31,0.165584,0.088877
1974-11-29,-0.041046,-0.051395
1974-12-31,-0.027005,-0.080744
1975-01-31,0.141599,0.29926
1975-02-28,0.058412,0.053918
1975-03-31,0.030191,0.081497
1975-04-30,0.046497,0.031093
1975-05-30,0.05514,0.072876
1975-06-30,0.051473,0.071792
1975-07-31,-0.060385,-0.00896
1975-08-29,-0.023558,-0.048118
1975-09-30,-0.03801,-0.038867
1975-10-31,0.055857,0.01472
1975-11-28,0.031222,0.01674
1975-12-31,-0.010998,-0.000599
1976-01-30,0.126012,0.190037
1976-02-27,0.00731,0.106291
1976-03-31,0.02674,0.018109
1976-04-30,-0.010402,-0.00381
1976-05-28,-0.009326,-0.01968
1976-06-30,0.044521,0.02651
1976-07-30,-0.006136,0.002236
1976-08-31,-0.001398,-0.016673
1976-09-30,0.024513,0.01699
1976-10-29,-0.020372,-0.022586
1976-11-30,0.005363,0.026686
1976-12-31,0.061591,0.10241
1977-01-31,-0.036326,0.036903
1977-02-28,-0.015744,0.0044
1977-03-31,-0.009249,0.010654
1977-04-29,0.004962,0.016931
1977-05-31,-0.010777,0.00287
1977-06-30,0.051369,0.051503
1977-07-29,-0.012806,0.012362
1977-08-31,-0.013338,-0.001211
1977-09-30,0.001572,0.014968
1977-10-31,-0.039278,-0.02319
1977-11-30,0.04544,0.070872
1977-12-30,0.008223,0.021081
1978-01-31,-0.055199,-0.011152
1978-02-28,-0.009275,0.026008
1978-03-31,0.034009,0.067839
1978-04-28,0.082853,0.079317
1978-05-31,0.02323,0.06762
1978-06-30,-0.010749,0.010292
1978-07-31,0.056741,0.052394
1978-08-31,0.04237,0.093578
1978-09-29,-0.006889,0.0062
1978-10-31,-0.110995,-0.17728
1978-11-30,0.033787,0.038205
1978-12-29,0.017708,0.014346
1979-01-31,0.04953,0.093695
1979-02-28,-0.026765,-0.016269
1979-03-30,0.065613,0.084167
1979-04-30,0.00852,0.028815
